 Gen#      NN#        ErrMean        sga%ErrMean        ErrStd         sga%ErrSt
 d
   3        1       -1390.4084      -1390.4084       7877.3239       7877.3239
   4        1       -1421.7775      -1421.7775       7319.7855       7319.7855
   5        1       -1219.3793      -1219.3793       7175.6067       7175.6067
   6        1        -763.5215       -763.5215       7213.8795       7213.8795
   7        1         593.4676        593.4676       4849.7518       4849.7518
   8        1        -319.2772       -319.2772       5606.9524       5606.9524
   9        1        -636.7215       -636.7215       4974.5266       4974.5266
  10        1        -955.6769       -955.6769       4398.2614       4398.2614
  11        1       -1363.0394      -1363.0394       3971.4058       3971.4058
  12        1        -305.2728       -305.2728       1567.1910       1567.1910
  13        1        -200.5505       -200.5505       1311.5345       1311.5345
  14        1        -319.0947       -319.0947        856.8552        856.8552
  15        1        -215.5483       -215.5483        617.4755        617.4755
  16        1        -199.1512       -199.1512        586.7581        586.7581
  17        1        -160.1241       -160.1241        429.8718        429.8718
  18        1        -133.6139       -133.6139        367.6192        367.6192
  19        1         -31.8340        -31.8340         88.4906         88.4906
  20        1          -1.6661         -1.6661         20.2851         20.2851
  21        1          -9.4171         -9.4171         53.7560         53.7560
  22        1          -2.9799         -2.9799          8.7627          8.7627
  23        1         -11.3684        -11.3684         79.6005         79.6005
  24        1          -9.8578         -9.8578         73.4786         73.4786
  25        1           1.9526          1.9526         33.7678         33.7678
  26        1         -54.6791        -54.6791        110.8475        110.8475
  27        1          -4.0464         -4.0464         87.7810         87.7810
  28        1          -3.0260         -3.0260         72.5596         72.5596
  29        1          17.4002         17.4002        102.4588        102.4588
  30        1          30.9684         30.9684        116.5343        116.5343
  31        1          57.9474         57.9474        139.6400        139.6400
  32        1          47.3334         47.3334        129.1616        129.1616
  33        1          49.3034         49.3034        129.6936        129.6936
  34        1          47.6668         47.6668        127.0915        127.0915
  35        1          65.7037         65.7037        140.0761        140.0761
  36        1         182.0129        182.0129        169.5456        169.5456
  37        1         231.8181        231.8181        154.8084        154.8084
  38        1         246.3165        246.3165        146.9063        146.9063
  39        1         262.2835        262.2835        136.2979        136.2979
  40        1         274.2120        274.2120        126.5423        126.5423
  41        1         272.8647        272.8647        127.5080        127.5080
  42        1         276.1363        276.1363        124.5197        124.5197
  43        1         266.6116        266.6116        132.3508        132.3508
  44        1         269.8778        269.8778        129.6739        129.6739
  45        1          -0.3221         -0.3221          0.0577          0.0577
  46        1         122.1031        122.1031        159.9869        159.9869
  47        1         147.5274        147.5274        165.0544        165.0544
  48        1         164.3584        164.3584        166.0277        166.0277
  49        1         174.4695        174.4695        165.7702        165.7702
  50        1         183.9807        183.9807        164.9546        164.9546
  51        1         183.9251        183.9251        164.9654        164.9654
  52        1         200.0408        200.0408        162.3065        162.3065
  53        1         205.8441        205.8441        160.9442        160.9442
  54        1         207.1877        207.1877        160.5996        160.5996
  55        1          73.3635         73.3635        146.5317        146.5317
  56        1         121.9713        121.9713        198.3085        198.3085
  57        1         171.4376        171.4376        190.7851        190.7851
  58        1         209.4318        209.4318        179.7842        179.7842
  59        1         227.9847        227.9847        169.9918        169.9918
  60        1         244.3742        244.3742        160.3472        160.3472
  61        1         253.9304        253.9304        153.6549        153.6549
  62        1         252.2485        252.2485        153.3745        153.3745
  63        1         248.7321        248.7321        154.5848        154.5848
  64        1         248.7342        248.7342        154.0569        154.0569
  65        1         243.7299        243.7299        156.3188        156.3188
  66        1         240.1467        240.1467        157.6418        157.6418
  67        1         233.2248        233.2248        160.3702        160.3702
  68        1         221.0589        221.0589        164.5750        164.5750
  69        1         217.7007        217.7007        165.4326        165.4326
  71        1          -0.5190         -0.5190        130.2250        130.2250
  72        1         -16.2712        -16.2712        127.5421        127.5421
  73        1          12.2558         12.2558         65.1515         65.1515
  74        1          -0.5209         -0.5209          0.4005          0.4005
  75        1          -0.4584         -0.4584          0.4285          0.4285
  76        1          -0.2829         -0.2829          0.5364          0.5364
  77        1          -0.2043         -0.2043          0.5462          0.5462
  78        1          -0.1102         -0.1102          0.5436          0.5436
  79        1          -0.0321         -0.0321          0.5285          0.5285
  80        1           0.0382          0.0382          0.5217          0.5217
  81        1           0.1094          0.1094          0.4807          0.4807
  82        1           0.1490          0.1490          0.4903          0.4903
  83        1           0.2014          0.2014          0.4716          0.4716
  84        1           0.2177          0.2177          0.4600          0.4600
  85        1           0.2304          0.2304          0.4851          0.4851
  86        1           0.2213          0.2213          0.5167          0.5167
  87        1           0.2440          0.2440          0.5137          0.5137
  88        1          -0.6270         -0.6270          0.1268          0.1268
  89        1          -0.6269         -0.6269          0.1733          0.1733
  90        1          -0.6223         -0.6223          0.2026          0.2026
  91        1          -0.5600         -0.5600          0.2229          0.2229
  92        1          15.2678         15.2678         71.5990         71.5990
  93        1          27.1556         27.1556         92.7882         92.7882
  94        1          37.1023         37.1023        106.2756        106.2756
  95        1          28.6520         28.6520         94.8063         94.8063
 150        1          33.2932         33.2932        101.2743        101.2743
