 Gen#      NN#        ErrMean        sga%ErrMean        ErrStd         sga%ErrSt
 d
   3        1        1184.2035       1184.2035       7524.6577       7524.6577
   4        1         417.7378        417.7378       7187.0189       7187.0189
   5        1         813.9310        813.9310       7235.8494       7235.8494
   6        1         539.4636        539.4636       6629.4187       6629.4187
   7        1          32.4062         32.4062       5979.1147       5979.1147
   8        1        -158.7224       -158.7224       1219.7117       1219.7117
   9        1          -8.2022         -8.2022       1036.5590       1036.5590
  10        1          23.0666         23.0666        955.0035        955.0035
  11        1          27.5967         27.5967        741.3460        741.3460
  12        1         122.8865        122.8865        800.1568        800.1568
  13        1          69.0749         69.0749        678.5994        678.5994
  14        1          50.4547         50.4547        614.5920        614.5920
  15        1         -70.3393        -70.3393        137.0930        137.0930
  16        1         -38.5998        -38.5998        105.1118        105.1118
  17        1          20.3235         20.3235        104.5230        104.5230
  18        1          15.3675         15.3675         91.6899         91.6899
  19        1          21.5019         21.5019        115.2163        115.2163
  20        1          39.6117         39.6117        131.2989        131.2989
  21        1          42.2059         42.2059        129.7860        129.7860
  22        1          41.4396         41.4396        127.1394        127.1394
  23        1          40.9126         40.9126        124.9921        124.9921
  24        1          47.6975         47.6975        120.6477        120.6477
  25        1         -39.8221        -39.8221        112.1891        112.1891
  26        1           6.4021          6.4021         34.4165         34.4165
  27        1         -44.8686        -44.8686        140.3706        140.3706
  28        1         -33.6784        -33.6784        122.2026        122.2026
  29        1         -41.5279        -41.5279        126.3026        126.3026
  30        1         -79.8320        -79.8320        153.5727        153.5727
  31        1         -95.3474        -95.3474        160.2378        160.2378
  32        1         -94.0274        -94.0274        158.5290        158.5290
  33        1        -103.8481       -103.8481        161.8772        161.8772
  34        1        -105.2106       -105.2106        162.2037        162.2037
  35        1        -109.0673       -109.0673        162.8520        162.8520
  36        1        -111.7320       -111.7320        166.2489        166.2489
  37        1         -19.4841        -19.4841         78.3269         78.3269
  38        1          -0.9094         -0.9094          0.4783          0.4783
  39        1          -0.8492         -0.8492          0.3861          0.3861
  40        1          -0.8743         -0.8743          0.4193          0.4193
  41        1          -0.8479         -0.8479          0.3814          0.3814
  42        1          -0.8423         -0.8423          0.3361          0.3361
  43        1          -0.8572         -0.8572          0.3356          0.3356
  44        1          -0.8959         -0.8959          0.3908          0.3908
  45        1          -0.9174         -0.9174          0.4127          0.4127
  46        1          -0.9409         -0.9409          0.4415          0.4415
  47        1          -0.6809         -0.6809          0.3007          0.3007
  48        1          -0.5308         -0.5308          0.2634          0.2634
  49        1          -0.5560         -0.5560          0.2307          0.2307
  50        1          -0.5104         -0.5104          0.2323          0.2323
  51        1          -0.5141         -0.5141          0.2709          0.2709
  52        1          -0.4909         -0.4909          0.2515          0.2515
  53        1          -0.4465         -0.4465          0.2484          0.2484
  54        1          -0.4298         -0.4298          0.2407          0.2407
  55        1          -0.4062         -0.4062          0.2268          0.2268
  56        1          -0.3767         -0.3767          0.2295          0.2295
  57        1          -0.3593         -0.3593          0.2405          0.2405
  58        1          -0.3896         -0.3896          0.2847          0.2847
  59        1          36.7555         36.7555        199.6033        199.6033
  60        1         117.1020        117.1020        201.4364        201.4364
  61        1         152.0803        152.0803        169.0865        169.0865
  62        1         140.7698        140.7698        186.2272        186.2272
  63        1         137.5941        137.5941        181.5478        181.5478
  64        1         136.6270        136.6270        165.1140        165.1140
  65        1         131.5832        131.5832        175.3268        175.3268
  66        1         145.8224        145.8224        176.0495        176.0495
  67        1         161.3540        161.3540        176.2532        176.2532
  68        1         170.1328        170.1328        175.2632        175.2632
  69        1         179.3497        179.3497        174.0660        174.0660
  70        1         187.1978        187.1978        172.6483        172.6483
  71        1         195.8965        195.8965        170.8753        170.8753
  72        1          -0.2522         -0.2522          0.3118          0.3118
  73        1         116.7606        116.7606        163.3767        163.3767
  74        1         158.8727        158.8727        169.1546        169.1546
  75        1         192.2581        192.2581        166.4017        166.4017
  76        1         196.8722        196.8722        165.1452        165.1452
  77        1         189.1628        189.1628        166.1987        166.1987
  78        1         179.8773        179.8773        167.1236        167.1236
 150        1         186.1930        186.1930        166.3693        166.3693
