 Gen#      NN#        ErrMean        sga%ErrMean        ErrStd         sga%ErrSt
 d
   3        1         964.3201        964.3201       8859.8173       8859.8173
   4        1        1058.0333       1058.0333       8995.7924       8995.7924
   5        1        1191.8826       1191.8826       9047.0317       9047.0317
   6        1        1095.5277       1095.5277       8713.1323       8713.1323
   7        1         948.2320        948.2320       9025.4376       9025.4376
   8        1       -2453.1844      -2453.1844       5172.8137       5172.8137
   9        1        1527.4536       1527.4536       8026.2776       8026.2776
  10        1        1673.2991       1673.2991       8954.0179       8954.0179
  11        1        3288.2989       3288.2989       9172.7424       9172.7424
  12        1        3403.0465       3403.0465       8922.0979       8922.0979
  13        1        2740.6435       2740.6435       8431.0005       8431.0005
  14        1       -1794.0733      -1794.0733       4751.3772       4751.3772
  15        1       -2786.3977      -2786.3977       4878.2822       4878.2822
  16        1       -2935.7945      -2935.7945       4413.6476       4413.6476
  17        1       -3518.0895      -3518.0895       4121.0313       4121.0313
  18        1       -3336.6328      -3336.6328       3700.2352       3700.2352
  19        1       -3284.9573      -3284.9573       3357.0056       3357.0056
  20        1       -3217.0025      -3217.0025       3296.8893       3296.8893
  21        1        -652.5048       -652.5048       2569.2571       2569.2571
  22        1        -590.0418       -590.0418       1442.5310       1442.5310
  23        1        -298.2848       -298.2848        813.5133        813.5133
  24        1        -187.9852       -187.9852        535.0349        535.0349
  25        1        -138.7086       -138.7086        342.7782        342.7782
  26        1         -63.2543        -63.2543        269.1000        269.1000
  27        1         -43.5230        -43.5230        252.8677        252.8677
  28        1         -40.9595        -40.9595        212.6289        212.6289
  29        1         -12.9899        -12.9899        130.4521        130.4521
  30        1           3.1862          3.1862         26.2522         26.2522
  31        1          -1.6470         -1.6470          6.6534          6.6534
  32        1          -0.3758         -0.3758          0.4316          0.4316
  33        1          -0.3015         -0.3015          0.2994          0.2994
  34        1          -0.2995         -0.2995          0.2942          0.2942
  35        1          -0.4610         -0.4610          5.2716          5.2716
  36        1           0.0377          0.0377          2.7729          2.7729
  37        1          -0.2511         -0.2511          0.3690          0.3690
  38        1          -0.2682         -0.2682          0.3866          0.3866
  39        1          -0.3595         -0.3595          0.2619          0.2619
  40        1          -0.1964         -0.1964          0.3407          0.3407
  41        1          -0.0874         -0.0874          0.3433          0.3433
  42        1          -0.0613         -0.0613          0.3549          0.3549
  43        1          -0.0086         -0.0086          0.3539          0.3539
  44        1           0.0145          0.0145          0.3341          0.3341
  45        1           0.0472          0.0472          0.3109          0.3109
  46        1           0.0881          0.0881          0.3199          0.3199
  47        1           0.1049          0.1049          0.3275          0.3275
  48        1           0.1257          0.1257          0.3227          0.3227
  49        1           0.1251          0.1251          0.3114          0.3114
  50        1           0.1345          0.1345          0.3054          0.3054
  51        1        -101.4644       -101.4644        129.2357        129.2357
  52        1         -35.6485        -35.6485         78.5256         78.5256
  53        1          -7.2506         -7.2506         26.7158         26.7158
  54        1          -1.8505         -1.8505          0.5106          0.5106
  55        1          -1.8808         -1.8808          0.4699          0.4699
  56        1          -1.8955         -1.8955          0.4417          0.4417
  57        1          -1.9070         -1.9070          0.4177          0.4177
  58        1          -1.9173         -1.9173          0.3974          0.3974
  59        1          -1.9291         -1.9291          0.3771          0.3771
  60        1          -1.9349         -1.9349          0.3649          0.3649
  61        1          -1.9412         -1.9412          0.3512          0.3512
  62        1          -1.9482         -1.9482          0.3370          0.3370
  63        1          -1.9520         -1.9520          0.3261          0.3261
  64        1          -1.9573         -1.9573          0.3167          0.3167
  65        1          -1.9633         -1.9633          0.3066          0.3066
  66        1          -1.9689         -1.9689          0.2974          0.2974
  67        1        -221.8321       -221.8321        165.9505        165.9505
  68        1         -83.5501        -83.5501        148.4243        148.4243
  69        1         -32.2044        -32.2044         99.8226         99.8226
  70        1         -12.8991        -12.8991         63.8650         63.8650
  71        1          -0.6037         -0.6037          0.1937          0.1937
  72        1           8.3868          8.3868         54.6098         54.6098
  73        1          -0.5667         -0.5667          0.2218          0.2218
  74        1           6.5183          6.5183         48.4442         48.4442
  75        1          -0.5102         -0.5102          0.2446          0.2446
  76        1          -0.4709         -0.4709          0.2585          0.2585
  77        1          -0.4409         -0.4409          0.2672          0.2672
  78        1          -0.4026         -0.4026          0.2837          0.2837
  79        1          -0.3727         -0.3727          0.2830          0.2830
  80        1          -0.3524         -0.3524          0.3047          0.3047
