      -0.500       0.714       0.583       0.643      -0.043       0.111      -0.250      -0.750      -0.600      -1.000      -1.000      -0.200      -0.714      -0.143      -1.000      -0.492       0.742       0.644      -1.000      -1.000      -0.019      -0.720       0.189       0.128      -1.000      -1.000       0.079      -1.000       1.887       0.393      -0.065
       0.750       0.500      -1.000      -0.214       0.913      -1.000      -0.750      -0.750       1.000      -1.000      -1.000      -0.600      -0.143       0.429      -0.075      -1.000       0.065       0.286      -0.740      -0.375      -0.290      -0.978      -1.000       0.390      -0.132      -1.000      -1.000      -1.000      -0.171       0.604      -0.078
       0.083      -0.643       0.750       1.000       0.043      -0.333       0.000       1.000       0.600      -1.000       1.000       0.000       0.714       0.143       0.857      -1.000      -1.000      -1.000      -1.000      -1.000      -1.000      -1.000      -0.124      -1.000       0.138       0.004      -1.000      -1.000       0.388       0.589      -0.112
      -0.167       1.000       0.833       0.286      -1.000       1.000       0.750       0.750       1.000      -0.200       0.600      -1.000       0.143       0.143      -0.941       0.822      -1.000      -1.000      -1.000      -1.000      -1.000      -1.000      -1.000      -1.000      -1.000      -0.661      -1.000      -1.000       0.794       0.012      -0.137
       0.083      -1.000       0.333       0.214       0.478       0.778       0.750      -0.750      -0.400       0.200      -0.600       0.800      -0.714       1.000       0.339      -0.932      -1.000      -1.000      -1.000      -1.000      -1.000       0.625      -1.000       0.144      -0.165      -1.000       0.566      -1.000      -0.185       0.575      -0.075
      -0.167       1.000      -0.333      -0.286      -0.304      -1.000      -1.000      -1.000       0.800       1.000       0.200      -0.800      -1.000      -1.000      -1.000      -1.000      -0.238      -1.000      -1.000      -1.000      -1.000      -0.494      -1.000      -0.965      -0.578      -1.000      -0.744      -0.670      -0.151       0.630      -0.205
      -0.750       0.500       0.583      -0.214       0.478      -1.000       0.500       1.000      -0.600      -0.200      -0.200      -0.600       0.429       1.000       0.044       0.564      -1.000       0.953      -1.000      -1.000      -1.000      -0.785      -1.000      -1.000      -1.000      -0.358      -0.197      -1.000       0.836       0.555      -0.095
       0.750       0.000       0.833       0.786      -0.130      -0.778       1.000       1.000      -1.000      -0.200      -0.600       0.400      -1.000      -1.000      -0.965      -1.000      -1.000      -1.000      -1.000      -1.000      -1.000      -1.000      -1.000       0.756      -1.000      -0.857      -0.821      -1.000       0.677       0.514      -0.133
      -0.167       1.000       0.750       1.000       0.478      -1.000       0.000      -0.250      -1.000       0.600       0.200      -0.400       0.714       0.143      -0.998      -1.000      -0.101      -1.000      -0.193      -1.000      -1.000      -1.000      -1.000       0.388      -0.304      -1.000      -1.000      -1.000      -0.289       0.592      -0.081
       1.000       0.000      -0.583       0.286       0.043       0.778       0.250       0.000       0.800      -0.600       1.000      -0.800       1.000       0.429      -1.000      -1.000      -1.000      -1.000      -1.000      -0.333      -1.000       0.853      -1.000      -1.000      -1.000      -1.000      -1.000      -1.000       0.100       0.682      -0.232
      -0.750      -0.857       0.583       0.429      -0.739      -1.000      -0.750       0.750       0.200       1.000       0.200       0.000       0.429       1.000      -1.000       0.855      -0.708      -1.000      -1.000      -1.000      -1.000      -0.857      -1.000      -0.107      -0.179      -1.000      -0.647      -0.544      -0.555       0.587      -0.074
      -0.667      -0.214      -0.583       0.286      -0.739       0.333      -0.250      -0.750       0.600       0.600      -0.600       0.000       0.714       0.143      -1.000      -1.000       0.484       0.642      -1.000      -1.000      -1.000      -1.000       0.494      -1.000      -1.000      -1.000      -1.000       0.081      -0.039       0.087      -0.059
