 Gen#      NN#        ErrMean        sga%ErrMean        ErrStd         sga%ErrSt
 d
   3        1         992.4731        992.4731      10357.6565      10357.6565
   4        1        1480.0111       1480.0111       9880.8660       9880.8660
   5        1        1571.8648       1571.8648       8739.1191       8739.1191
   6        1        1692.4024       1692.4024       7832.9098       7832.9098
   7        1         657.6239        657.6239       2720.7164       2720.7164
   8        1        2433.5201       2433.5201       4246.3963       4246.3963
   9        1        2188.1667       2188.1667       4620.5707       4620.5707
  10        1        1745.6222       1745.6222       4823.1188       4823.1188
  11        1        1548.1882       1548.1882       4584.9794       4584.9794
  12        1         673.5786        673.5786       3697.3436       3697.3436
  13        1         775.7613        775.7613       3319.2570       3319.2570
  14        1        1210.7009       1210.7009       3797.8738       3797.8738
  15        1         368.7009        368.7009       3936.7833       3936.7833
  16        1         261.7504        261.7504       3968.9974       3968.9974
  17        1         180.8216        180.8216       3957.7546       3957.7546
  18        1        -488.4117       -488.4117       3034.6594       3034.6594
  19        1       -1113.2211      -1113.2211       3067.3684       3067.3684
  20        1       -1092.3146      -1092.3146       3204.8613       3204.8613
  21        1       -1220.4888      -1220.4888       3262.8226       3262.8226
  22        1       -1063.6108      -1063.6108       3381.8811       3381.8811
  23        1       -1107.7436      -1107.7436       3336.6659       3336.6659
  24        1       -1937.3268      -1937.3268       2950.7774       2950.7774
  25        1       -1707.7077      -1707.7077       2576.7166       2576.7166
  26        1       -1704.8178      -1704.8178       2517.5318       2517.5318
  27        1       -1785.1569      -1785.1569       2300.5824       2300.5824
  28        1       -1771.9217      -1771.9217       2189.6638       2189.6638
  29        1       -1809.0155      -1809.0155       2166.3057       2166.3057
  30        1       -1855.7032      -1855.7032       1949.4708       1949.4708
  31        1        -589.7919       -589.7919        685.6188        685.6188
  32        1        -384.1061       -384.1061        672.9523        672.9523
  33        1        -218.3950       -218.3950        412.8137        412.8137
  34        1        -190.2534       -190.2534        378.2602        378.2602
  35        1        -145.3751       -145.3751        281.5037        281.5037
  36        1         -93.1477        -93.1477        210.4324        210.4324
  37        1         -53.4017        -53.4017        192.8373        192.8373
  38        1         -34.2178        -34.2178        184.5151        184.5151
  39        1        -166.3094       -166.3094        173.4104        173.4104
  40        1         -15.3040        -15.3040        124.4200        124.4200
  41        1           9.7956          9.7956         57.6684         57.6684
  42        1          -0.1570         -0.1570          0.4238          0.4238
  43        1          -0.1606         -0.1606          0.3411          0.3411
  44        1          -0.1639         -0.1639          0.3185          0.3185
  45        1          -0.1843         -0.1843          0.3096          0.3096
  46        1          -0.1979         -0.1979          0.3028          0.3028
  47        1          -0.2058         -0.2058          0.2953          0.2953
  48        1          -0.2073         -0.2073          0.2815          0.2815
  50        1          -1.0606         -1.0606          0.2133          0.2133
  51        1          -1.0323         -1.0323          0.1276          0.1276
  52        1          -1.0599         -1.0599          0.1566          0.1566
  53        1          -1.0624         -1.0624          0.1666          0.1666
  54        1          -1.0539         -1.0539          0.2066          0.2066
  55        1          18.8898         18.8898         79.6890         79.6890
  56        1          16.4543         16.4543         74.8309         74.8309
  57        1          30.6112         30.6112         98.2887         98.2887
  58        1          42.3141         42.3141        112.6987        112.6987
  59        1          47.7127         47.7127        118.3107        118.3107
  60        1          48.2162         48.2162        118.7407        118.7407
  61        1          51.8601         51.8601        122.1875        122.1875
  62        1          44.9646         44.9646        115.2731        115.2731
  64        1           0.0155          0.0155          0.2589          0.2589
  65        1          -0.0605         -0.0605          0.0813          0.0813
  66        1          -0.0216         -0.0216          0.2231          0.2231
  67        1          10.3501         10.3501         58.6710         58.6710
  68        1          26.1907         26.1907         90.7522         90.7522
  69        1          46.3288         46.3288        116.4557        116.4557
  70        1          74.5611         74.5611        140.0558        140.0558
  71        1          79.9763         79.9763        143.3729        143.3729
  72        1          99.6755         99.6755        153.5421        153.5421
  73        1         112.4636        112.4636        158.4488        158.4488
  74        1         105.9538        105.9538        155.9734        155.9734
  75        1         109.2613        109.2613        157.1638        157.1638
  76        1         106.5263        106.5263        156.0589        156.0589
  77        1         101.3380        101.3380        153.8931        153.8931
  78        1         112.0819        112.0819        157.9961        157.9961
  79        1         121.8759        121.8759        161.0166        161.0166
  80        1         110.8084        110.8084        157.4712        157.4712
  81        1         111.9460        111.9460        157.8243        157.8243
  83        1         -51.6590        -51.6590        124.6643        124.6643
  84        1          -0.5491         -0.5491        117.4361        117.4361
  85        1          15.2486         15.2486         72.5237         72.5237
  86        1          -0.5676         -0.5676          0.2415          0.2415
  87        1          -0.5180         -0.5180          0.1994          0.1994
  88        1          -0.4515         -0.4515          0.2598          0.2598
 150        1         -16.3270        -16.3270        102.4662        102.4662
