-0.167	-0.357	-0.333	-0.286	-0.304	0.778	0.5	-1	0	0.2	-0.2	-0.2	-0.429	0.143	0.326	0.417	-1	-1	-1	-1	-1	-1	0.953	0.466	-1	-1	-0.63	-0.523	-0.197	-0.298	
-0.167	-0.429	-0.333	-0.286	-0.304	0.778	0	-1	0	0.2	-0.2	-0.2	-0.143	0.429	0.114	0.918	-1	-1	-1	-1	-1	-1	0.883	0.458	-1	-1	-1	-0.26	-0.142	-0.353	
-0.167	-0.429	-0.667	-0.214	-0.304	0.778	0.5	-1	0	0.2	-0.2	-0.6	-0.429	0.143	0.091	0.922	-1	-1	-1	-1	-1	-1	0.758	0.458	-1	-1	-0.626	-0.518	-0.199	-0.255	
-0.333	-0.286	-0.333	-0.286	-0.304	0.778	0.5	-1	0	0.2	-0.6	0	-0.429	0.143	0.083	0.765	-1	-1	-1	-1	-1	-1	0.758	0.443	-1	-1	-0.637	-0.532	-0.172	-0.309	
-0.167	-0.429	-0.667	-0.214	-0.304	0.778	-0.5	-1	0.2	0.6	-0.2	-0.2	-0.143	0.429	0.122	0.773	-1	-1	-1	-1	-1	-1	0.943	0.443	-1	-1	-0.623	-0.514	-0.21	-0.245	
-0.333	-0.286	-0.667	-0.214	-0.304	0.778	-0.5	-1	0.2	0.6	-0.2	-0.2	-0.143	0.429	0.06	0.758	-1	-1	-1	-1	-1	-1	0.881	0.443	-1	-1	-0.632	-0.525	-0.185	-0.294	
-0.167	-0.357	-0.333	-0.286	-0.304	0.778	0.5	-1	0	0.2	-0.6	0	-0.429	0.143	0.083	0.855	-1	-1	-1	-1	-1	-1	0.953	0.451	-1	-1	-0.619	-0.509	-0.226	-0.322	
-0.333	-0.286	-0.667	-0.214	-0.304	0.778	0.5	-1	0	0.2	-0.2	-0.6	-0.143	0.429	0.083	0.922	-1	-1	-1	-1	-1	-1	0.984	0.834	-1	-1	-1	-0.208	-0.197	-0.344	
-0.333	-0.286	-0.667	-0.214	-0.304	0.778	-0.5	-1	0	0.2	-0.2	-0.6	-0.143	0.429	0.114	0.296	-1	-1	-1	-1	-1	-1	0.734	0.967	-1	-1	-1	-0.29	-0.1	-0.227	
-0.333	-0.286	-0.333	-0.286	-0.304	0.778	-0.5	-1	0	0.2	-0.6	0	-0.143	0.429	0.247	0.378	-1	-1	-1	-1	-1	-1	0.883	0.896	-1	-1	-1	-0.256	-0.145	-0.305	
