 Gen#      NN#        ErrMean        sga%ErrMean        ErrStd         sga%ErrSt
 d
   3        1         382.8932        382.8932       7665.0311       7665.0311
   4        1        1054.9617       1054.9617       7188.2481       7188.2481
   5        1        1468.4653       1468.4653       7014.4517       7014.4517
   6        1        1503.9100       1503.9100       7228.0645       7228.0645
   7        1       -2358.8957      -2358.8957       5029.0611       5029.0611
   8        1       -1786.5939      -1786.5939       4843.9174       4843.9174
   9        1       -1234.0678      -1234.0678       4601.8823       4601.8823
  10        1       -1535.1352      -1535.1352       4435.6576       4435.6576
  11        1       -1458.7490      -1458.7490       4275.9987       4275.9987
  12        1       -1374.4985      -1374.4985       2224.5936       2224.5936
  13        1       -1204.9987      -1204.9987       2385.4560       2385.4560
  14        1        -875.5524       -875.5524       2319.3520       2319.3520
  15        1       -1197.2776      -1197.2776       2277.0867       2277.0867
  16        1       -1279.1762      -1279.1762       2187.5074       2187.5074
  17        1       -1619.7337      -1619.7337       2029.5710       2029.5710
  18        1       -1662.5121      -1662.5121       1994.1401       1994.1401
  19        1       -1697.3276      -1697.3276       1933.0269       1933.0269
  20        1        -663.8848       -663.8848       1003.6452       1003.6452
  21        1        -430.4464       -430.4464        767.2873        767.2873
  22        1        -315.9948       -315.9948        596.2779        596.2779
  23        1        -286.0557       -286.0557        441.0056        441.0056
  24        1        -217.2519       -217.2519        365.3900        365.3900
  25        1        -210.0553       -210.0553        328.4894        328.4894
  26        1        -185.8131       -185.8131        285.9599        285.9599
  27        1        -146.7936       -146.7936        240.3114        240.3114
  28        1        -153.6565       -153.6565        216.9087        216.9087
  29        1         -51.0869        -51.0869        219.7180        219.7180
  30        1          22.7016         22.7016        223.6333        223.6333
  31        1          48.7243         48.7243        168.8835        168.8835
  32        1          61.0517         61.0517        127.9002        127.9002
  33        1          49.6263         49.6263        117.8003        117.8003
  34        1          41.7532         41.7532        109.6780        109.6780
  35        1          31.5638         31.5638         96.9630         96.9630
  36        1          49.8342         49.8342        118.5468        118.5468
  37        1          48.9655         48.9655        117.7575        117.7575
  38        1          55.5585         55.5585        124.0395        124.0395
  39        1          54.3800         54.3800        123.0025        123.0025
  40        1           1.6822          1.6822          0.3349          0.3349
  41        1           1.4527          1.4527          0.3487          0.3487
  42        1           1.3729          1.3729          0.2861          0.2861
  43        1           1.3832          1.3832         84.3282         84.3282
  44        1           9.8986          9.8986         92.8777         92.8777
  45        1          15.8270         15.8270         97.8896         97.8896
  46        1          19.8246         19.8246        100.2466        100.2466
  47        1          22.8249         22.8249        101.8415        101.8415
  48        1           1.4334          1.4334         79.9298         79.9298
  49        1           1.4667          1.4667         76.1600         76.1600
  50        1           1.4916          1.4916         72.8778         72.8778
  51        1           1.5116          1.5116         70.3784         70.3784
  52        1          15.2028         15.2028         94.8167         94.8167
  54        1          82.1643         82.1643        148.5997        148.5997
  55        1          88.5952         88.5952        150.3108        150.3108
  56        1         119.9886        119.9886        162.3365        162.3365
  57        1         123.7825        123.7825        162.9291        162.9291
  58        1         137.6417        137.6417        165.5710        165.5710
  59        1         127.4566        127.4566        163.2099        163.2099
  60        1         123.8264        123.8264        162.1396        162.1396
  61        1         130.2766        130.2766        163.5417        163.5417
  62        1         131.3194        131.3194        163.6393        163.6393
  63        1         128.2674        128.2674        162.8762        162.8762
  64        1         138.0224        138.0224        164.7518        164.7518
  65        1         134.8905        134.8905        164.1285        164.1285
  66        1         144.8384        144.8384        165.6279        165.6279
  67        1          27.4324         27.4324         95.8627         95.8627
  68        1          -0.2753         -0.2753          0.2529          0.2529
  69        1          32.9295         32.9295        101.3391        101.3391
 150        1          -0.3655         -0.3655        127.2810        127.2810
