 Gen#      NN#        ErrMean        sga%ErrMean        ErrStd         sga%ErrSt
 d
   3        1        1162.1413       1162.1413       7148.8120       7148.8120
   4        1        1459.7709       1459.7709       7004.9833       7004.9833
   5        1        1531.8945       1531.8945       6822.9577       6822.9577
   6        1        1392.9175       1392.9175       6556.2982       6556.2982
   7        1        1159.3000       1159.3000       6513.9767       6513.9767
   8        1         461.8602        461.8602       6281.9038       6281.9038
   9        1          -3.1853         -3.1853       6146.6840       6146.6840
  10        1        -931.1036       -931.1036       6211.6248       6211.6248
  11        1       -1089.6087      -1089.6087       6051.4704       6051.4704
  12        1       -1030.4421      -1030.4421       5927.3715       5927.3715
  13        1       -1380.1362      -1380.1362       5694.2105       5694.2105
  14        1       -2083.1978      -2083.1978       2018.3182       2018.3182
  15        1       -1069.8164      -1069.8164       1792.1973       1792.1973
  16        1        -724.4616       -724.4616       1285.9183       1285.9183
  17        1        -306.0915       -306.0915        976.6333        976.6333
  18        1        -168.2351       -168.2351        749.1144        749.1144
  19        1        -153.3897       -153.3897        549.4248        549.4248
  20        1        -102.6274       -102.6274        466.0465        466.0465
  21        1           0.3031          0.3031          0.4932          0.4932
  22        1           0.2698          0.2698          0.5488          0.5488
  23        1           0.2545          0.2545          0.5678          0.5678
  24        1           0.3635          0.3635          0.5483          0.5483
  25        1           0.3782          0.3782          0.5699          0.5699
  26        1           0.3733          0.3733          0.6026          0.6026
  27        1           0.3421          0.3421          0.6050          0.6050
  28        1           0.3115          0.3115          0.6084          0.6084
  29        1           0.3230          0.3230          0.6166          0.6166
  30        1           0.2915          0.2915          0.6117          0.6117
  31        1           0.2538          0.2538          0.6046          0.6046
  32        1           0.2184          0.2184          0.5981          0.5981
  33        1           0.1921          0.1921          0.5877          0.5877
  34        1           0.1686          0.1686          0.5965          0.5965
  35        1           0.1089          0.1089          0.6269          0.6269
  36        1           0.0700          0.0700          0.6906          0.6906
  37        1           3.3829          3.3829         33.3238         33.3238
  39        1          49.8106         49.8106        159.0318        159.0318
  40        1          31.8676         31.8676        128.1943        128.1943
  41        1          24.3842         24.3842        112.7499        112.7499
  42        1           7.3915          7.3915         80.5699         80.5699
  43        1          26.0101         26.0101        107.1430        107.1430
  44        1          32.0726         32.0726        113.2121        113.2121
  45        1          20.2336         20.2336         95.3155         95.3155
  46        1          31.4565         31.4565        109.3292        109.3292
  47        1          46.3246         46.3246        124.5957        124.5957
  48        1          36.6945         36.6945        113.6701        113.6701
  49        1          53.6760         53.6760        129.9526        129.9526
  50        1          63.1103         63.1103        137.0457        137.0457
  51        1          71.0789         71.0789        142.2515        142.2515
  52        1          77.8946         77.8946        146.2012        146.2012
  53        1          80.9779         80.9779        147.7377        147.7377
  54        1          89.8959         89.8959        152.2436        152.2436
  56        1          -0.1393         -0.1393        200.2573        200.2573
  57        1         -18.6380        -18.6380        179.0856        179.0856
  58        1          -0.2216         -0.2216        169.6130        169.6130
  59        1          -0.2334         -0.2334        151.0439        151.0439
  60        1          -0.2245         -0.2245        156.5469        156.5469
  61        1          14.8684         14.8684        159.4285        159.4285
  62        1          32.9951         32.9951        167.7622        167.7622
  63        1          41.3056         41.3056        168.3379        168.3379
  64        1          48.7964         48.7964        169.7731        169.7731
  65        1          55.1454         55.1454        160.4738        160.4738
  66        1          59.7583         59.7583        150.9280        150.9280
  67        1          64.4997         64.4997        162.0271        162.0271
  68        1          67.0286         67.0286        169.3130        169.3130
  69        1          69.9326         69.9326        168.8400        168.8400
  70        1          72.4767         72.4767        175.1417        175.1417
  71        1         -41.5664        -41.5664        117.5157        117.5157
  72        1          -0.2235         -0.2235          0.4550          0.4550
  73        1          -0.0498         -0.0498          0.4464          0.4464
  74        1          -0.1204         -0.1204          0.5336          0.5336
  75        1          -0.0988         -0.0988          0.5205          0.5205
  76        1          -0.2396         -0.2396          0.6151          0.6151
  77        1          -0.2620         -0.2620          0.6152          0.6152
  78        1          -0.2224         -0.2224          0.6005          0.6005
  79        1          -0.2838         -0.2838          0.6021          0.6021
  80        1          -0.3705         -0.3705          0.6274          0.6274
  81        1          -0.4341         -0.4341          0.6305          0.6305
  82        1          -0.4829         -0.4829          0.6351          0.6351
  83        1          -0.5462         -0.5462          0.6421          0.6421
  84        1           2.8684          2.8684         33.8595         33.8595
  85        1          -0.6161         -0.6161          0.6327          0.6327
  86        1          -0.6204         -0.6204          0.6052          0.6052
 150        1           2.3503          2.3503         31.4938         31.4938
