 Gen#      NN#        ErrMean        sga%ErrMean        ErrStd         sga%ErrSt
 d
   3        1         605.3666        605.3666       7721.2149       7721.2149
   4        1        1048.1645       1048.1645       7217.3308       7217.3308
   5        1        1092.9097       1092.9097       7144.3798       7144.3798
   6        1        1046.8912       1046.8912       7162.1439       7162.1439
   7        1         998.4074        998.4074       7205.9402       7205.9402
   8        1         -35.6924        -35.6924       2965.9697       2965.9697
   9        1        -410.7600       -410.7600       3267.4474       3267.4474
  10        1        -485.6780       -485.6780       3367.9137       3367.9137
  11        1        -131.0122       -131.0122       3345.0716       3345.0716
  12        1         163.0495        163.0495       3422.3362       3422.3362
  13        1       -1301.6246      -1301.6246       2050.4436       2050.4436
  14        1        -889.2424       -889.2424       1946.0255       1946.0255
  15        1        -582.9571       -582.9571       1807.0000       1807.0000
  16        1        -292.0442       -292.0442       1616.0388       1616.0388
  17        1        -469.2910       -469.2910       1304.2683       1304.2683
  18        1        -280.5377       -280.5377       1091.0912       1091.0912
  19        1        -280.7593       -280.7593       1039.3140       1039.3140
  20        1         -97.5041        -97.5041        936.4775        936.4775
  21        1         -87.2572        -87.2572        418.8875        418.8875
  22        1         -84.1846        -84.1846        357.7038        357.7038
  23        1         -19.7683        -19.7683        219.5916        219.5916
  24        1         -15.2446        -15.2446        200.5870        200.5870
  25        1         -24.3553        -24.3553        182.1945        182.1945
  26        1           9.3968          9.3968        169.9540        169.9540
  27        1          21.1431         21.1431        157.1371        157.1371
  28        1          -1.1271         -1.1271          0.6116          0.6116
  29        1          -1.3798         -1.3798          0.5272          0.5272
  30        1          -1.4478         -1.4478          0.4721          0.4721
  31        1          -1.4754         -1.4754          0.4342          0.4342
  32        1          -1.4997         -1.4997          0.4198          0.4198
  33        1          -1.5322         -1.5322          0.4027          0.4027
  34        1          -1.5260         -1.5260          0.3859          0.3859
  35        1          -1.5239         -1.5239          0.3935          0.3935
  36        1           2.0363          2.0363         34.3810         34.3810
  37        1          21.2578         21.2578         84.3102         84.3102
  38        1          -0.3041         -0.3041          0.2984          0.2984
  39        1          -0.3402         -0.3402          0.2572          0.2572
  40        1          -0.3235         -0.3235          0.2893          0.2893
  41        1          -0.3432         -0.3432          0.2563          0.2563
  42        1          -0.3565         -0.3565          0.2396          0.2396
  43        1          -0.3680         -0.3680          0.2345          0.2345
