 Gen#      NN#        ErrMean        sga%ErrMean        ErrStd         sga%ErrSt
 d
   3        1        -569.1613       -569.1613      11232.2845      11232.2845
   4        1          39.2502         39.2502      11131.0205      11131.0205
   5        1         281.1283        281.1283      10453.3356      10453.3356
   6        1         113.0038        113.0038       9965.4789       9965.4789
   7        1          21.4203         21.4203       3776.7609       3776.7609
   8        1       -1406.9260      -1406.9260       4200.4990       4200.4990
   9        1       -1666.0394      -1666.0394       3984.7478       3984.7478
  10        1       -2220.0980      -2220.0980       4290.9589       4290.9589
  11        1       -1821.6581      -1821.6581       4219.7488       4219.7488
  12        1       -1740.5833      -1740.5833       2670.6305       2670.6305
  13        1       -1738.3221      -1738.3221       1784.0418       1784.0418
  14        1       -1094.0006      -1094.0006       1382.0862       1382.0862
  15        1        -807.2789       -807.2789       1188.2839       1188.2839
  16        1        -548.9854       -548.9854        978.9507        978.9507
  17        1        -357.8465       -357.8465        792.2414        792.2414
  18        1        -294.2327       -294.2327        632.7323        632.7323
  19        1        -211.2461       -211.2461        536.9625        536.9625
  20        1        -148.8443       -148.8443        194.5975        194.5975
  21        1        -101.4437       -101.4437        187.9894        187.9894
  22        1         -34.8688        -34.8688        158.3567        158.3567
  23        1         -34.5744        -34.5744        145.5258        145.5258
  24        1         -39.5124        -39.5124        141.0092        141.0092
  25        1         -32.6880        -32.6880        128.7619        128.7619
  26        1         -37.9235        -37.9235        130.7182        130.7182
  27        1         -33.3734        -33.3734        122.9866        122.9866
  28        1         -29.8433        -29.8433        116.4770        116.4770
  29        1         -20.6538        -20.6538        102.5597        102.5597
  30        1        -100.6767       -100.6767        160.5401        160.5401
  31        1         -32.7964        -32.7964         99.9056         99.9056
  32        1         -12.1366        -12.1366         60.6572         60.6572
  33        1          -0.9966         -0.9966          0.4608          0.4608
  34        1          -1.0657         -1.0657          0.5060          0.5060
  35        1          -1.1195         -1.1195          0.5734          0.5734
  36        1          -1.1003         -1.1003          0.5389          0.5389
  37        1          -1.1614         -1.1614          0.5399          0.5399
  38        1          -1.2253         -1.2253          0.5390          0.5390
  39        1          -1.2741         -1.2741          0.5399          0.5399
  40        1        -185.1989       -185.1989        174.7471        174.7471
  41        1          73.0056         73.0056        242.9777        242.9777
  42        1         178.0047        178.0047        168.8587        168.8587
  43        1         155.3783        155.3783        168.2519        168.2519
  44        1         176.7329        176.7329        167.6006        167.6006
  45        1         168.3881        168.3881        167.6641        167.6641
  46        1         181.7446        181.7446        166.6068        166.6068
  47        1         184.6885        184.6885        166.1228        166.1228
  48        1         193.9438        193.9438        164.6445        164.6445
  49        1         184.9380        184.9380        165.8661        165.8661
  50        1         195.5331        195.5331        164.1513        164.1513
  51        1         109.9180        109.9180        165.8583        165.8583
  52        1          51.4248         51.4248        124.3222        124.3222
  53        1         109.7140        109.7140        159.4391        159.4391
  54        1         146.6158        146.6158        167.2887        167.2887
  55        1         153.4884        153.4884        167.5435        167.5435
  56        1         155.2995        155.2995        167.3529        167.3529
  57        1         165.0633        165.0633        167.4479        167.4479
  58        1         180.1673        180.1673        166.5917        166.5917
  59        1         184.9877        184.9877        165.9356        165.9356
  60        1         199.0634        199.0634        163.4882        163.4882
  61        1         204.7566        204.7566        162.0963        162.0963
  62        1         214.8755        214.8755        159.1897        159.1897
  64        1          -2.5433         -2.5433          0.2903          0.2903
  65        1          -2.5727         -2.5727          0.2642          0.2642
  66        1           7.4735          7.4735         57.7904         57.7904
  67        1          -2.5656         -2.5656          0.2796          0.2796
  68        1           4.3358          4.3358         47.9135         47.9135
  69        1          27.0607         27.0607         95.5227         95.5227
  70        1          33.7468         33.7468        104.4350        104.4350
  71        1          39.5189         39.5189        111.2381        111.2381
  72        1          39.9849         39.9849        111.7143        111.7143
  73        1          32.9944         32.9944        103.3009        103.3009
  74        1          30.2578         30.2578         99.6593         99.6593
  75        1          38.0823         38.0823        109.3946        109.3946
  76        1          -0.5829         -0.5829        177.4694        177.4694
  77        1          87.9744         87.9744        152.0784        152.0784
  78        1          94.3097         94.3097        153.7957        153.7957
  79        1         106.1778        106.1778        158.0034        158.0034
  80        1         106.8921        106.8921        157.7493        157.7493
  81        1         133.8761        133.8761        165.0287        165.0287
  82        1         135.0042        135.0042        164.9628        164.9628
  83        1         144.3668        144.3668        166.2652        166.2652
  84        1         148.8967        148.8967        166.6639        166.6639
 150        1         137.0082        137.0082        164.8476        164.8476
