 Gen#      NN#        ErrMean        sga%ErrMean        ErrStd         sga%ErrSt
 d
   3        1         537.7677        537.7677       7045.9611       7045.9611
   4        1         400.9860        400.9860       6640.3069       6640.3069
   5        1         683.5333        683.5333       6489.0587       6489.0587
   6        1         629.7648        629.7648       5988.5263       5988.5263
   7        1         533.8738        533.8738       5878.8672       5878.8672
   8        1         967.0301        967.0301       3561.2166       3561.2166
   9        1         581.6251        581.6251       4298.1569       4298.1569
  10        1         351.7368        351.7368       4644.3825       4644.3825
  11        1         484.7846        484.7846       4513.6912       4513.6912
  12        1         493.4258        493.4258       4366.8047       4366.8047
  13        1         484.0290        484.0290       4354.6367       4354.6367
  14        1        -849.4756       -849.4756       3887.0825       3887.0825
  15        1        -139.7991       -139.7991       3272.0620       3272.0620
  16        1        -779.7437       -779.7437       3553.8978       3553.8978
  17        1       -1287.7566      -1287.7566       3349.3275       3349.3275
  18        1       -1533.4811      -1533.4811       3239.0809       3239.0809
  19        1       -1791.8239      -1791.8239       3096.2011       3096.2011
  20        1       -1960.3530      -1960.3530       3004.7922       3004.7922
  21        1        -537.8117       -537.8117       1095.7592       1095.7592
  22        1        -458.7572       -458.7572        793.2568        793.2568
  23        1        -458.5338       -458.5338        731.7106        731.7106
  24        1        -492.9195       -492.9195        690.2191        690.2191
  25        1        -477.0743       -477.0743        633.4211        633.4211
  26        1        -526.1454       -526.1454        564.2138        564.2138
  27        1        -476.9381       -476.9381        533.2696        533.2696
  28        1        -447.6991       -447.6991        483.9307        483.9307
  29        1          28.2570         28.2570         67.6315         67.6315
  30        1           6.0955          6.0955         26.1424         26.1424
  31        1           1.0419          1.0419          1.2119          1.2119
  32        1           0.9583          0.9583          2.3473          2.3473
  33        1          10.4264         10.4264         36.5789         36.5789
  34        1           3.8822          3.8822         15.4661         15.4661
  35        1          11.3549         11.3549         40.2236         40.2236
  36        1          20.0362         20.0362         80.6178         80.6178
  37        1          17.5127         17.5127         89.1013         89.1013
  38        1          20.9863         20.9863         77.9610         77.9610
  39        1        -129.4030       -129.4030        209.2372        209.2372
  40        1         -17.1230        -17.1230         82.7815         82.7815
  41        1          -2.3672         -2.3672         10.1467         10.1467
  42        1          -0.3089         -0.3089          0.2331          0.2331
  43        1          -0.3240         -0.3240          0.2163          0.2163
  44        1          -0.3711         -0.3711          0.3145          0.3145
  45        1          -0.5163         -0.5163          0.5272          0.5272
  46        1          -0.5628         -0.5628          0.5365          0.5365
  47        1          -0.6438         -0.6438          0.6065          0.6065
  48        1          -0.7033         -0.7033          0.6428          0.6428
  49        1          -0.7452         -0.7452          0.6639          0.6639
  50        1          -0.8002         -0.8002          0.6920          0.6920
  51        1          -0.8310         -0.8310          0.6985          0.6985
  52        1          -0.8804         -0.8804          0.7194          0.7194
  53        1          -0.9167         -0.9167          0.7255          0.7255
  54        1          -0.9538         -0.9538          0.7326          0.7326
  55        1        -332.9124       -332.9124          0.1953          0.1953
  56        1        -199.7718       -199.7718        168.7687        168.7687
  57        1        -116.3869       -116.3869        162.9743        162.9743
  58        1        -106.8292       -106.8292        158.2286        158.2286
  59        1         -94.9735        -94.9735        152.4888        152.4888
  60        1         -91.3691        -91.3691        150.3975        150.3975
  61        1         -81.1668        -81.1668        144.5708        144.5708
  62        1         -84.5100        -84.5100        146.2296        146.2296
  63        1         -82.7969        -82.7969        145.0489        145.0489
  64        1         -82.6639        -82.6639        144.7674        144.7674
  65        1         -91.5469        -91.5469        149.4201        149.4201
  66        1         -89.5493        -89.5493        148.3005        148.3005
  67        1        -101.1448       -101.1448        153.6028        153.6028
  68        1        -105.7941       -105.7941        155.4733        155.4733
  69        1         -99.5589        -99.5589        152.8590        152.8590
  70        1         -97.5983        -97.5983        151.9788        151.9788
  71        1         -92.3952        -92.3952        149.5615        149.5615
  72        1         -93.3355        -93.3355        150.0072        150.0072
  73        1        -256.2414       -256.2414        145.7780        145.7780
  74        1        -166.6378       -166.6378        170.6370        170.6370
  75        1        -135.8820       -135.8820        166.5132        166.5132
  76        1        -122.3370       -122.3370        162.9925        162.9925
  77        1        -102.0093       -102.0093        155.3621        155.3621
 150        1        -108.2478       -108.2478        157.8191        157.8191
